year,price,transmission,mileage,fuel_type,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
2019,29799,Automatic,6012.0,Petrol,1.5,1,0,0,0,0,0,0,1
2019,29399,Semi-Auto,8545.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,26249,Semi-Auto,10785.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,19799,Semi-Auto,14272.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,30049,Semi-Auto,2011.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,23849,Semi-Auto,15499.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,20549,Semi-Auto,13243.0,Diesel,2.0,0,0,0,1,1,0,0,0
2016,18349,Semi-Auto,33456.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,34499,Semi-Auto,2838.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,27699,Semi-Auto,5012.0,Diesel,1.6,0,0,0,1,1,0,0,0
2019,23799,Semi-Auto,14507.0,Petrol,1.5,0,0,0,1,0,0,0,1
2018,22949,Automatic,10577.0,Petrol,1.5,1,0,0,0,0,0,0,1
2018,27449,Automatic,7322.0,Diesel,2.0,1,0,0,0,1,0,0,0
2019,25899,Semi-Auto,11151.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,20999,Semi-Auto,13070.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,26999,Semi-Auto,8714.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29799,Semi-Auto,11576.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25349,Semi-Auto,9172.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,20699,Semi-Auto,14593.0,Diesel,2.0,0,0,0,1,1,0,0,0
2016,16499,Semi-Auto,35459.0,Diesel,2.1,0,0,0,1,1,0,0,0
2020,48879,Semi-Auto,1000.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,36199,Semi-Auto,9800.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,29849,Semi-Auto,2303.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,24999,Semi-Auto,11842.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25649,Semi-Auto,8108.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25149,Semi-Auto,15184.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,26049,Semi-Auto,9785.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,29249,Semi-Auto,12972.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,30499,Semi-Auto,9426.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,31699,Semi-Auto,3723.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25549,Semi-Auto,14874.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,24799,Semi-Auto,19484.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,31779,Semi-Auto,1000.0,Diesel,1.6,0,0,0,1,1,0,0,0
2019,35499,Semi-Auto,1023.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,31899,Semi-Auto,1733.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29099,Semi-Auto,7027.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,25199,Semi-Auto,5856.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,35299,Semi-Auto,100.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,32399,Semi-Auto,2008.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,29699,Semi-Auto,1906.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,66699,Semi-Auto,630.0,Petrol,4.0,0,0,0,1,0,0,0,1
2019,36599,Semi-Auto,124.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,33699,Semi-Auto,2200.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,49499,Semi-Auto,358.0,Petrol,3.0,0,0,0,1,0,0,0,1
2020,33469,Semi-Auto,1000.0,Diesel,1.6,0,0,0,1,1,0,0,0
2013,12999,Automatic,23790.0,Diesel,2.1,1,0,0,0,1,0,0,0
2016,19999,Semi-Auto,17807.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,25399,Semi-Auto,13636.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,26249,Semi-Auto,8588.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,20249,Semi-Auto,10918.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,19849,Semi-Auto,14085.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25599,Semi-Auto,12187.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,24799,Semi-Auto,13012.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,24799,Semi-Auto,12999.0,Petrol,1.5,0,0,0,1,0,0,0,1
2017,37199,Semi-Auto,5376.0,Petrol,3.0,0,0,0,1,0,0,0,1
2016,18349,Semi-Auto,22000.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,27199,Semi-Auto,5926.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29249,Semi-Auto,1768.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,17999,Semi-Auto,15998.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,25199,Semi-Auto,15238.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29749,Semi-Auto,10.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,43049,Semi-Auto,7351.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,41949,Semi-Auto,8315.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,40649,Semi-Auto,11130.0,Petrol,3.0,0,0,0,1,0,0,0,1
2016,21999,Semi-Auto,20801.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,17890,Semi-Auto,26514.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,29427,Semi-Auto,3085.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,27690,Semi-Auto,8070.0,Petrol,2.0,0,0,0,1,0,0,0,1
2020,33800,Semi-Auto,2406.0,Petrol,1.5,0,0,0,1,0,0,0,1
2020,29990,Semi-Auto,99.0,Diesel,2.0,0,0,0,1,1,0,0,0
2020,33990,Semi-Auto,99.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29000,Semi-Auto,9809.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,30200,Semi-Auto,4589.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,30132,Semi-Auto,7165.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,30000,Semi-Auto,8750.0,Diesel,2.0,0,0,0,1,1,0,0,0
